Index,Contract_Execution_Date,PMT_No.,Item_No,Sales_Contract_No.,Contract/Spot,Sold_to_Customer_Name,Sold_to_Customer_Code,Customer_Type,Customer_Industry,Grade,Material,Payment_Term,Incoterm,Country,Destination_Port,City_State,Shipping_Condition,Export/Domestic,Cross_Boarder,Plant,RETA,BL_Date,EXCHANGE_RATE,QUANTITY,UOM,Currency,FLOOR_PRICE,NORMALISED_INVOICE_PRICE,REFERENCE_MARKET_PRICE,Price_Premium,PRODUCTBASEPRICE,GRADEALPHA,INVOICEPRICE
29,3/7/2018,QTN-0000015960-1,3,30013989,QUOTATION,COMMERCIAL PLASTIC INDUSTRIES,8010000729,Distributor / Trader,Mfg-Petroleum Prod,HD5301AA,72000544,ZM60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.9,572,MT,USD,1340,1403.21349,1401.25,1.96349000000009,1360,23.5210961538461,1430.00109615384
30,9/11/2017,QTN-0000012629-1,1,30011296,QUOTATION,KAMMA KLANG ENTERPRISE SDN BHD,8010000960,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZCBD,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.29,22,MT,USD,1140,1189.09195,1135,54.09195,1160,20,1212
31,7/13/2017,QTN-0000011839-1,1,30010625,QUOTATION,TCL PLASTIC INDUSTRIES SDN. BHD.,8010001436,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG13 SG BULUH,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M059,00:00.0,00:00.0,4.25,22,MT,MYR,5100,5255.18003,5189.25,65.9300300000004,5185,91.7120909090909,5380.00209090909
32,1/2/2018,QTN-0000014508-1,1,30013015,QUOTATION,"DISCOVERING PETROCHEMICAL CO., LTD.",8010006692,Distributor / Trader,Trading,C150Y,72000448,LC60,CFR,Hong Kong,HKHKG HONG KONG PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.08,238,MT,USD,1140,1136.0622,1257.5,-121.4378,1240,58.4724663865546,1139.99753361344
33,1/2/2018,QTN-0000014368-1,1,30013001,QUOTATION,PT. BUKITMEGA MASABADI,8010001217,Distributor / Trader,Mfg-Petroleum Prod,LL0209SA,72000608,TT60SBLC,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M167,00:00.0,00:00.0,4.15,1496,MT,USD,1200,1195.80098,1185,10.80098,1240,16.6052052139037,1214.9952052139
34,1/4/2018,QTN-0000014650-1,1,30013108,QUOTATION,COMMERCIAL PLASTIC INDUSTRIES,8010000729,Distributor / Trader,Mfg-Petroleum Prod,LL0209SA,72000608,ZM60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,180,MT,USD,1220,1224.06719,1191.25,32.81719,1240,23.2104111111111,1250.00041111111
35,1/4/2018,QTN-0000014650-1,4,30013109,QUOTATION,COMMERCIAL PLASTIC INDUSTRIES,8010000729,Distributor / Trader,Mfg-Petroleum Prod,HD5201AA,72000539,ZM60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,44,MT,USD,1270,1293.73438,1255,38.7343800000001,1260,53.3398636363636,1319.99986363636
36,5/8/2017,QTN-0000010497-1,2,30009449,QUOTATION,"ISONO CO., LTD.",8010006642,End Customer,Mfg-Chemical Product,C150Y,72000448,TT00,CFR,Japan,JPNGO NAGOYA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,0,2,MT,USD,1240,1302.24384,1245,57.2438400000001,1310,30,1300
37,3/6/2018,QTN-0000015921-1,3,30013965,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,LL3840UA,72000617,ZB60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.9,44,MT,USD,1315,1407.55312,1265,142.55312,1305,51.7281818181818,1432.49818181818
38,3/6/2018,QTN-0000015921-1,4,30013967,QUOTATION,CJ POLYMERS SDN. BHD.,8010000714,Distributor / Trader,Mfg-Petroleum Prod,HD5301AA,72000544,ZB60,DAP,Malaysia,MYSG00 KLANG VALLEY,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.9,1100,MT,USD,1340,1405.06411,1401.25,3.81411000000003,1360,21.7605481818181,1430.00054818181
39,12/28/2017,QTN-0000014448-1,1,30012929,QUOTATION,"HANTEX TRADING CO., INC",8010005439,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.15,312,MT,USD,1200,1252.18342,1273.75,-21.5665799999999,1240,15,1265
40,4/10/2018,QTN-0000016839-1,2,30014644,QUOTATION,WIN LOONG SDN BHD,8010001544,Distributor / Trader,Mfg-Petroleum Prod,HD5201AA,72000539,ZM30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,3.9,44,MT,USD,1450,1445.83058,1414,31.8305800000001,1440,50,1469
41,5/14/2018,QTN-0000017335-1,1,30015133,QUOTATION,"PREMIUM PLAST CO., LTD",8010001205,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT30SBLC,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,31.2272,68,MT,USD,1180,1258.9126,1240,18.9126000000001,1220,5,1260
42,7/13/2017,QTN-0000011841-1,1,30010622,QUOTATION,TCL PLASTIC INDUSTRIES SDN. BHD.,8010001436,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZB60,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG13 SG BULUH,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.25,22,MT,USD,1110,1101.10199,1100,1.10198999999989,1130,21.4628181818181,1130.00281818181
43,11/6/2017,QTN-0000013712-1,1,30012163,QUOTATION,NCI INDUSTRIES SDN. BHD.,8010001101,End Customer,Mfg-Petroleum Prod,HD5201AA,72000539,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH07 PONTIAN,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.22,22,MT,USD,1250,1285.74686,1207.5,78.24686,1240,53.2880909090909,1316.99809090909
44,2/9/2018,QTN-0000015348-1,1,30013700,QUOTATION,HOXXON INTERNATIONAL TRADING CO LTD,8010000892,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC30,CFR,Taiwan,TAIWAN MAIN PORTS,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,3.85,74.25,MT,USD,1230,1217.43634,1255,-37.56366,1270,20,1232.5
45,4/4/2018,QTN-0000016704-1,1,30014468,QUOTATION,"PROPLUS SOURCING CO., LTD.",8010001214,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT03,DDP,Thailand,THBKK BANGKOK,THBKK BANGKOK,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,31.2181,272,MT,USD,1220,1326.94394,1283,43.9439400000001,1260,5,1325
46,8/9/2017,QTN-0000012202-1,1,30011009,QUOTATION,PT. LAWANGMAS PRIMAPACK INDONESIA,8010001252,End Customer,Mfg-Petroleum Prod,C150Y,72000448,ZCBD,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.29,34,MT,USD,1170,1252.18342,1200,52.1834200000001,1210,15,1265
47,3/8/2018,QTN-0000015829-1,1,30014069,QUOTATION,OLEFIN CHEMICALS MARKETING INC.,8010001125,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,TT00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,3.9,210,MT,USD,1230,1312.2611,1285,27.2610999999999,1270,0,1310
48,10/10/2017,QTN-0000013161-1,2,30011820,QUOTATION,ZHEJIANG FUTURE PETROCHEMICAL,8010001559,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,LC60,CFR,Hong Kong,HKHKG HONG KONG PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.2,221,MT,USD,1250,1240.70212,1280,-39.2978800000001,1290,1.66993212669683,1244.99993212669
49,10/10/2017,QTN-0000013166-1,1,30011819,QUOTATION,"DISCOVERING PETROCHEMICAL CO., LTD.",8010006692,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,China,CHINA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.2,714,MT,USD,1250,1247.1489,1243,4.14889999999991,1290,0,1245
50,10/9/2017,QTN-0000013217-1,2,30011768,QUOTATION,FRAGSTAR CORPORATION SDN BHD,8010000825,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM30,DAP,Malaysia,MYKD05 GURUN,MYKD05 GURUN,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.2,99,MT,USD,1190,1239.2664,1193,46.2664,1210,20,1267
51,4/5/2018,QTN-0000016716-1,1,30014483,QUOTATION,BP PLASTICS SDN BHD,8010000663,End Customer,Mfg-Petroleum Prod,N109X,72000660,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH13 BATU PAHAT,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,3.9,22,MT,USD,1290,1262.15676,1283,-20.8432399999999,1260,73.3916363636363,1288.27163636363
52,6/8/2018,QTN-0000017683-1,1,30015540,QUOTATION,BETAFOAM CORPORATION,8010000645,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,3.97,52,MT,USD,1200,1316,1255.625,60.375,1240,15,1320
53,7/13/2018,QTN-0000018289-1,1,30016166,QUOTATION,NCI INDUSTRIES SDN. BHD.,8010001101,End Customer,Mfg-Petroleum Prod,HD5201AA,72000539,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH07 PONTIAN,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4,44,MT,USD,1410,1462.92991,1392,70.9299100000001,1400,53.7023181818181,1490.00231818181
54,6/14/2017,QTN-0000011388-1,4,30010067,QUOTATION,WESCO CHINA LIMITED,8010004900,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,Taiwan,KAOHSIUNG,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,,4.3,24.75,MT,USD,1140,1214.11438,1271.25,-57.13562,1260,60,1225
55,11/7/2017,QTN-0000013752-1,3,30012218,QUOTATION,"INTERCORDIA CO., LTD",8010000926,Distributor / Trader,Mfg-Petroleum Prod,M022X,72000628,TT60SBLC,CFR,Vietnam,VNSGN HO CHI MINH,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.22,34,MT,USD,1280,1290.52836,1288.75,1.77836000000002,1290,31.7087647058823,1294.99876470588
56,5/8/2017,QTN-0000010683-1,1,30009446,QUOTATION,MERIT INDUSTRIES SDN BHD,8010001060,End Customer,Mfg-Petroleum Prod,HD5301AA,72000544,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYPR16 KAMUNTING,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,0,220,MT,USD,1150,1146.41246,1163.75,-17.33754,1170,23.0291772727272,1176.99917727272
57,1/22/2018,QTN-0000014963-1,2,30013367,QUOTATION,TYCOPLAS SDN. BHD.,8010001493,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZM30,DAP,Malaysia,MYKD01 ALOR SETAR,MYSG00 KLANG VALLEY,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.06,22.5,MT,USD,1220,1381.96866,1191.25,190.71866,1240,20,1405
58,8/27/2018,QTN-0000018985-1,1,30016767,QUOTATION,PT. BERLINA TBK,8010001242,End Customer,Mfg-Petroleum Prod,C150Y,72000448,LC30,CFR,Indonesia,INDONESIA MAIN PORT,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,00:00.0,4.04,17,MT,USD,1150,1243.9126,1217.5,26.4126000000001,1190,15,1260
59,1/7/2019,QTN-0000021417-1,1,30019306,QUOTATION,LOONGSEN PLASTICS (M) SDN BHD,8010001017,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZM60,DAP,Malaysia,MYKD01 ALOR SETAR,MYMK01 MELAKA,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,00:00.0,4.16,90,MT,USD,1040,1059.85433,1036.66667,23.1876599999998,1060,22.7443888888888,1085.00438888888
60,1/9/2019,QTN-0000021635-1,1,30019447,QUOTATION,GOLDSTAR POLYMER TRADING CORP.,8010005496,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,Philippines,PHMNL MANILA,,MARINE PACK,EXPORT,NONCROSSBORDER,M169,00:00.0,,4.16,104,MT,USD,1000,1097.89863,1040,57.8986299999999,1040,15,1100
61,3/9/2018,QTN-0000016015-1,1,30014077,QUOTATION,AROPAK SDN BHD,8010000604,End Customer,Mfg-Petroleum Prod,LL0209SA,72000608,ZB30,DAP,Malaysia,MYKD01 ALOR SETAR,MYJH01 JOHOR BAHRU,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M167,00:00.0,,3.9,67.5,MT,USD,1285,1273.8824,1265,8.88239999999996,1305,20,1295
62,10/9/2017,QTN-0000013178-1,1,30011826,QUOTATION,SERIN ENTERPRISES LIMITED,8010001347,Distributor / Trader,Trading,C150Y,72000448,TT00,CFR,China,CNYTN YANTIAN,,MARINE PACK,EXPORT,NONCROSSBORDER,M059,00:00.0,00:00.0,4.2,49.5,MT,USD,1250,1288.22658,1243,45.22658,1290,20,1290
63,1/7/2019,QTN-0000021488-1,1,30019341,QUOTATION,KENG CHEONG TRADING CO.,8010000965,Distributor / Trader,Mfg-Petroleum Prod,C150Y,72000448,ZM30,DAP,Malaysia,MYPG04 PRAI,MYPG04 PRAI,TRUCK PACK(Drum),DOMESTIC,NONCROSSBORDER,M169,00:00.0,00:00.0,4.16,176,MT,USD,1020,1047.69144,1040,7.69144000000006,1040,20,1070
