Customer,Product_Group,Recency,Avg_Price_L3Y,Revenue_L12,Customer_Size,l3y_volume,standard_cost,l12_sales_vol,Current_Price
20387,Product_A,3,48.4,204,2895.01,7.49,10,2.5,53.24
20388,Product_A,6,49.5,817,2781.81,39.93,10,13.3,54.45
20389,Product_A,9,44.4,760,3089.54,34.78,10,11.6,48.84
20401,Product_A,5,29.5,249,1403.64,23.29,10,7.8,32.45
20406,Product_A,1,53,2054,7268.3,90.61,10,30.2,58.3
20409,Product_A,1,42.1,2408,6100.15,104.67,10,34.9,46.31
20411,Product_A,1,50.3,1233,14871.07,108.55,10,36.2,55.33
20430,Product_A,3,42.1,3092,20045.48,149.58,10,49.9,46.31
20446,Product_A,4,34.1,151,9068.67,27.45,10,9.2,37.51
20481,Product_A,6,62.1,249,1614.32,19.13,10,6.4,68.31
20502,Product_A,1,48.8,192,3625.26,14.96,10,5,53.68
20523,Product_A,2,63.7,1611,2113.95,32.86,10,11,70.07
20526,Product_A,6,46.9,182,3598.41,7.42,10,2.5,51.59
20532,Product_A,11,38.4,1435,45842.47,158.01,10,52.7,42.24
20536,Product_A,5,53.4,1053,5137.87,79.39,10,26.5,58.74
20540,Product_A,1,42.3,1313,4162.31,49.81,10,16.6,46.53
20578,Product_A,12,50.6,189,189.36,3.74,10,1.2,55.66
20581,Product_A,11,57.6,502,4779.77,48.25,10,16.1,63.36
20599,Product_A,3,46.7,1009,11850.22,116.27,10,38.8,51.37
20602,Product_A,7,47.3,367,1704.4,34.07,10,11.4,52.03
20616,Product_A,5,64.8,246,1149.08,7.9,10,2.6,71.28
20635,Product_A,8,57.5,438,3218.62,11.64,10,3.9,63.25
20641,Product_A,3,39.6,2066,23616.28,237.77,10,79.3,43.56
20645,Product_A,9,56,462,3386.55,42.01,10,14,61.6
20650,Product_A,9,43.4,168,794.16,7.48,10,2.5,47.74
20664,Product_A,1,60.9,1463,17119.65,61.55,10,20.5,66.99
20698,Product_A,2,45.8,2444,16952.2,157.31,10,52.4,50.38
20713,Product_A,1,46.6,628,5095.63,56.2,10,18.7,51.26
20727,Product_A,9,42.1,332,10984.3,100.39,10,33.5,46.31
20748,Product_A,4,27,374,44184.59,13.87,10,4.6,29.7
20795,Product_A,5,60.7,265,805.47,8.31,10,2.8,66.77
20829,Product_A,1,37.1,836,8795.78,46.12,10,15.4,40.81
20830,Product_A,2,37.7,1498,94123.92,111.04,10,37,41.47
20833,Product_A,2,23.7,2330,14593.14,184.92,10,61.6,26.07
20864,Product_A,11,32.8,143,1036.35,19.52,10,6.5,36.08
20893,Product_A,12,53.8,205,720.58,7.48,10,2.5,59.18
20898,Product_A,2,34.3,1325,19223.54,155.96,10,52,37.73
20900,Product_A,5,40.4,137,10197.13,7.49,10,2.5,44.44
20971,Product_A,7,40.3,307,4346.34,11.22,10,3.7,44.33
20979,Product_A,1,55.4,2217,8705.22,103.89,10,34.6,60.94
21001,Product_A,5,46.8,223,42311.95,23.71,10,7.9,51.48
21048,Product_A,11,39.1,149,30108.31,7.48,10,2.5,43.01
21074,Product_A,7,45,525,2799.05,27.43,10,9.1,49.5
21116,Product_A,1,53.6,535,7847.36,23.65,10,7.9,58.96
21142,Product_A,3,40.7,573,4139.35,23.65,10,7.9,44.77
21185,Product_A,6,44.8,285,284.61,6.36,10,2.1,49.28
21228,Product_A,3,62.5,978,4988.66,45.3,10,15.1,68.75
21239,Product_A,5,22.8,393,7953.44,46.16,10,15.4,25.08
21250,Product_A,11,59.7,248,6218.92,4.16,10,1.4,65.67
21300,Product_A,7,63.5,488,2106.25,18.71,10,6.2,69.85
21325,Product_A,7,47.9,152,418.67,6.68,10,2.2,52.69
21331,Product_A,3,49.8,1370,20246.58,129.77,10,43.3,54.78
21386,Product_A,11,49.9,547,5973.07,45.35,10,15.1,54.89
21429,Product_A,10,59.3,231,1780.75,19.13,10,6.4,65.23
21466,Product_A,6,32.9,125,20099.36,7.48,10,2.5,36.19
21477,Product_A,3,42.6,184,11519.82,33.67,10,11.2,46.86
21491,Product_A,1,23.1,1031,16804.49,182.06,10,60.7,25.41
21507,Product_A,4,36,724,7814.55,56.27,10,18.8,39.6
21511,Product_A,5,60.9,228,282.69,3.74,10,1.2,66.99
21524,Product_A,2,38.1,5141,74840.51,353.19,10,117.7,41.91
21526,Product_A,2,22.2,236,1892.9,26.55,10,8.9,24.42
21565,Product_A,4,31.8,133,60160.44,24.24,10,8.1,34.98
21575,Product_A,1,42.2,447,28681.74,81.08,10,27,46.42
21577,Product_A,7,35.6,129,2406.92,30.33,10,10.1,39.16
21582,Product_A,3,38.5,158,11513.18,10.66,10,3.6,42.35
21596,Product_A,4,34.8,529,26415.14,61.51,10,20.5,38.28
21608,Product_A,1,52.3,207,2561.34,30.77,10,10.3,57.53
21622,Product_A,2,39.1,2839,29695.04,216.35,10,72.1,43.01
21635,Product_A,6,61.6,511,1509.49,15.9,10,5.3,67.76
21641,Product_A,4,42.1,156,2239.84,7.53,10,2.5,46.31
21647,Product_A,1,40.3,2988,72206.36,91.4,10,30.5,44.33
21679,Product_A,7,34.1,121,50892.38,3.54,10,1.2,37.51
21737,Product_A,4,42,157,157.08,3.74,10,1.2,46.2
21764,Product_A,5,44.8,1112,9147.21,145.78,10,48.6,49.28
21778,Product_A,10,34.5,151,2480.61,37.4,10,12.5,37.95
21786,Product_A,3,49.9,762,9167.7,21.95,10,7.3,54.89
21801,Product_A,3,32.5,129,5314.23,16.33,10,5.4,35.75
21830,Product_A,9,46.7,168,364.29,3.59,10,1.2,51.37
21864,Product_A,12,37.3,141,12232.44,15.39,10,5.1,41.03
21869,Product_A,7,39.7,166,857.82,7.7,10,2.6,43.67
21928,Product_A,1,59,253,2595.45,7.89,10,2.6,64.9
21944,Product_A,1,28.8,3703,31317.97,405.21,10,135.1,31.68
21950,Product_A,5,32.4,550,4382.66,69.58,10,23.2,35.64
22010,Product_A,5,45.3,852,7748.58,61.1,10,20.4,49.83
22106,Product_A,5,22.4,184,8668.82,8.2,10,2.7,24.64
22116,Product_A,1,18.5,1230,75400.95,144.96,10,48.3,20.35
22117,Product_A,1,29,1171,132358.41,68.6,10,22.9,31.9
22160,Product_A,4,64.2,275,2773.62,7.9,10,2.6,70.62
22190,Product_A,2,34.5,140,1501.6,14.96,10,5,37.95
22284,Product_A,1,16.4,828,71225.82,154.62,10,51.5,18.04
22321,Product_A,4,32.2,143,10055.82,22.87,10,7.6,35.42
22388,Product_A,1,58.8,489,1860.43,26.59,10,8.9,64.68
22485,Product_A,1,20.9,565,64087.16,103.64,10,34.5,22.99
22563,Product_A,4,26.9,121,945.37,11.22,10,3.7,29.59
22667,Product_A,9,54.4,204,5673.78,3.74,10,1.2,59.84
22669,Product_A,3,61.7,506,3287.06,39.51,10,13.2,67.87
22707,Product_A,5,23.1,202,10294.17,78.87,10,26.3,25.41
23996,Product_A,8,35.2,130,1702.78,11.6,10,3.9,38.72
24026,Product_A,2,28.4,2109,10301.28,148.89,10,49.6,31.24
24046,Product_A,1,31.6,1604,13906.67,172.16,10,57.4,34.76
24058,Product_A,4,21.4,167,31337.66,26.63,10,8.9,23.54
24089,Product_A,1,46.9,374,10617.29,22.68,10,7.6,51.59
24122,Product_A,1,24.7,4350,37513.49,569.41,10,189.8,27.17
24127,Product_A,9,45.8,178,793.62,7.49,10,2.5,50.38
24128,Product_A,3,25.2,318,3940.86,53.28,10,17.8,27.72
24146,Product_A,1,53.9,7366,26436.32,277.57,10,92.5,59.29
24211,Product_A,9,63.9,239,1024.7,3.74,10,1.2,70.29
24222,Product_A,5,47.4,749,5896.9,47.58,10,15.9,52.14
24227,Product_A,1,53.9,841,2701.03,38.43,10,12.8,59.29
24230,Product_A,2,28.5,325,3775.08,67.74,10,22.6,31.35
24277,Product_A,2,58.1,991,27710.06,56.56,10,18.9,63.91
24283,Product_A,3,31.3,922,3670.43,60.71,10,20.2,34.43
24347,Product_A,8,31,192,124654.86,42.83,10,14.3,34.1
24360,Product_A,3,30.8,343,9911.35,36.82,10,12.3,33.88
24407,Product_A,1,20.2,7881,58373.42,1457.39,10,485.8,22.22
24441,Product_A,1,19.9,4730,54131.96,953.85,10,318,21.89
24448,Product_A,7,41.2,357,21393.23,30.77,10,10.3,45.32
24582,Product_A,4,49.2,1110,4949.01,52.13,10,17.4,54.12
24605,Product_A,3,39.5,1040,5229.32,59.46,10,19.8,43.45
24607,Product_A,7,39.9,600,13107.23,91.8,10,30.6,43.89
24624,Product_A,2,23.6,752,32663.43,65.7,10,21.9,25.96
24637,Product_A,1,45.3,1632,12795.2,123.88,10,41.3,49.83
24667,Product_A,7,32.4,1574,27047.18,272.9,10,91,35.64
24685,Product_A,2,62.2,1223,6133.38,42.39,10,14.1,68.42
24686,Product_A,1,17.9,2756,120641.01,359.72,10,119.9,19.69
24706,Product_A,1,21.7,1855,7520.57,123.42,10,41.1,23.87
24710,Product_A,2,36.3,149,993.13,4.1,10,1.4,39.93
24711,Product_A,2,47,692,5160.29,43.25,10,14.4,51.7
24718,Product_A,2,54.8,630,5041.93,31.19,10,10.4,60.28
24743,Product_A,1,44.5,1974,4314.31,67.32,10,22.4,48.95
24746,Product_A,1,44.7,1121,81187.23,59.13,10,19.7,49.17
24824,Product_A,1,28.3,6858,42000.01,670.75,10,223.6,31.13
24841,Product_A,5,51,191,651.08,3.74,10,1.2,56.1
24850,Product_A,2,39.7,160,4393.79,11.15,10,3.7,43.67
24860,Product_A,1,18.4,586,103670.45,35.31,10,11.8,20.24
24885,Product_A,8,21.5,321,11936.27,22.46,10,7.5,23.65
24940,Product_A,2,47.2,299,5389.47,11.65,10,3.9,51.92
24947,Product_A,3,80.8,257,4534.13,12.2,10,4.1,88.88
24963,Product_A,7,20.7,133,36256.93,9.17,10,3.1,22.77
25003,Product_A,1,51.8,1136,4432.77,49.46,10,16.5,56.98
25010,Product_A,2,33.9,359,8043.27,29.88,10,10,37.29
25012,Product_A,3,29.9,1084,24011.21,136.41,10,45.5,32.89
25054,Product_A,2,39.7,643,4038.72,22.44,10,7.5,43.67
25078,Product_A,7,45.3,347,2679,11.23,10,3.7,49.83
25094,Product_A,3,49.3,580,5471.04,56.54,10,18.8,54.23
25111,Product_A,1,46.8,1040,3239.01,46.58,10,15.5,51.48
25143,Product_A,2,40.1,158,378.9,7.9,10,2.6,44.11
25152,Product_A,9,95,571,37033.89,24.32,10,8.1,104.5
25155,Product_A,1,51.3,384,1663.19,15.8,10,5.3,56.43
1990292,Product_A,3,41.8,291,5016.82,20.36,10,6.8,45.98
1991000,Product_A,3,39.3,284,129119.46,11.22,10,3.7,43.23
1991226,Product_A,1,26.7,2887,38117.66,329.03,10,109.7,29.37
1991503,Product_A,2,60.8,482,1957.5,22.45,10,7.5,66.88
1991813,Product_A,2,53.6,233,1850.89,15.8,10,5.3,58.96
1992437,Product_A,7,54.7,205,438.67,3.74,10,1.2,60.17
1992445,Product_A,3,53.4,211,802.93,11.22,10,3.7,58.74
1992547,Product_A,7,29.4,756,5906.82,85.15,10,28.4,32.34
1992672,Product_A,2,50.9,210,502.38,7.9,10,2.6,55.99
1992761,Product_A,4,32.6,196,7831.89,32.45,10,10.8,35.86
1992788,Product_A,3,47.9,956,3018.24,38.67,10,12.9,52.69
1992996,Product_A,7,54.7,227,227.05,4.15,10,1.4,60.17
1993226,Product_A,8,53.2,463,1560.04,19.52,10,6.5,58.52
1993846,Product_A,1,54.7,430,1216.94,14.97,10,5,60.17
1994366,Product_A,4,53.1,861,2710.38,51.18,10,17.1,58.41
1994391,Product_A,1,27.5,528,3492.39,32.78,10,10.9,30.25
1994451,Product_A,5,39.1,305,9717.68,68.03,10,22.7,43.01
1994508,Product_A,8,53.8,327,2639.19,23.29,10,7.8,59.18
1994676,Product_A,5,40.7,158,1065.14,14.96,10,5,44.77
1994683,Product_A,2,61.7,479,5467.9,26.18,10,8.7,67.87
1994741,Product_A,2,48.6,191,360.9,7.42,10,2.5,53.46
1994743,Product_A,1,52.2,393,2149.77,19.12,10,6.4,57.42
1994752,Product_A,11,49.1,536,37513.41,55.09,10,18.4,54.01
1994952,Product_A,1,38.1,160,337.23,7.48,10,2.5,41.91
1995024,Product_A,1,55.3,528,4416.97,38.26,10,12.8,60.83
1995111,Product_A,11,31.4,121,1467.06,14.96,10,5,34.54
1995169,Product_A,5,45.5,184,1397.12,14.96,10,5,50.05
1995327,Product_A,12,34.4,129,241.82,3.74,10,1.2,37.84
1995331,Product_A,6,34.4,129,193.25,3.74,10,1.2,37.84
1995515,Product_A,2,37,161,2309.35,15.38,10,5.1,40.7
1995691,Product_A,5,39.3,192,793.26,11.22,10,3.7,43.23
1995810,Product_A,7,32.1,129,1334.48,14.96,10,5,35.31
1996067,Product_A,8,30.7,119,1408.96,14.96,10,5,33.77
1996116,Product_A,1,62,958,5240.27,52.37,10,17.5,68.2
1996371,Product_A,9,33.6,116,1982.99,14.69,10,4.9,36.96
1996703,Product_A,5,57.8,216,268.84,3.74,10,1.2,63.58
1996741,Product_A,7,54.2,416,3293.11,43.25,10,14.4,59.62
1996742,Product_A,9,54.7,205,258.09,3.74,10,1.2,60.17
1996747,Product_A,7,33.9,127,126.82,3.74,10,1.2,37.29
1996805,Product_A,11,34.4,129,216.15,3.74,10,1.2,37.84
1996814,Product_A,7,53.4,204,663.07,7.48,10,2.5,58.74
1996886,Product_A,1,42.8,161,789.86,11.22,10,3.7,47.08
1996888,Product_A,8,63.9,239,762.76,3.74,10,1.2,70.29
1997204,Product_A,12,34.2,142,440.16,4.16,10,1.4,37.62
1997278,Product_A,2,35.3,119,1076.89,11.22,10,3.7,38.83
1997284,Product_A,7,49.7,193,804.58,16.22,10,5.4,54.67
1997454,Product_A,2,46.2,346,695.28,7.48,10,2.5,50.82
1997482,Product_A,9,53.7,204,1972.78,7.48,10,2.5,59.07
1997532,Product_A,2,47.9,720,8695.35,34.1,10,11.4,52.69
1997735,Product_A,7,54.7,409,1676.92,7.48,10,2.5,60.17
1997779,Product_A,9,53.4,204,662,7.49,10,2.5,58.74
1997946,Product_A,11,52.5,206,3645.77,14.92,10,5,57.75
1997981,Product_A,3,47.6,338,1591.35,13.82,10,4.6,52.36
1998317,Product_A,8,48.4,178,2842.98,17.04,10,5.7,53.24
1998874,Product_A,6,34.2,128,457.49,3.74,10,1.2,37.62
1998961,Product_A,10,61.6,239,1058.6,7.49,10,2.5,67.76
1999229,Product_A,3,54.8,1049,3117.94,39.45,10,13.2,60.28
1999377,Product_A,8,48.7,202,5887.21,4.16,10,1.4,53.57
2000058,Product_A,5,48.6,165,577.47,6.91,10,2.3,53.46
2000576,Product_A,8,46.8,377,5593.85,19.09,10,6.4,51.48
2000709,Product_A,8,53.6,216,801.83,14.97,10,5,58.96
2000866,Product_A,4,62.6,241,1258.58,11.22,10,3.7,68.86
2000932,Product_A,1,39.3,236,1417.04,20.38,10,6.8,43.23
2001092,Product_A,10,48,203,1897.28,7.48,10,2.5,52.8
2001210,Product_A,6,54.5,212,608.09,7.48,10,2.5,59.95
2001325,Product_A,10,63.9,239,1287.9,3.74,10,1.2,70.29
2001384,Product_A,2,54.3,224,1605.12,11.65,10,3.9,59.73
2001625,Product_A,5,56.3,389,1875.63,14.96,10,5,61.93
2001649,Product_A,7,61.2,471,2207.8,29.92,10,10,67.32
2001713,Product_A,1,61,228,530.06,3.74,10,1.2,67.1
2001891,Product_A,5,44.7,680,9103.34,22.44,10,7.5,49.17
2001929,Product_A,11,60.7,233,907.85,11.65,10,3.9,66.77
2001930,Product_A,1,38.2,184,3351.93,14.96,10,5,42.02
2001965,Product_A,5,61.4,240,1061.6,11.22,10,3.7,67.54
2001990,Product_A,9,40.7,395,3307.61,26.6,10,8.9,44.77
2002058,Product_A,5,51.7,203,464.34,7.48,10,2.5,56.87
2002114,Product_A,8,39.4,135,701.28,11.22,10,3.7,43.34
2002304,Product_A,2,27.5,205,309.6,7.48,10,2.5,30.25
2002806,Product_A,2,54.6,432,3086.55,27.45,10,9.2,60.06
2002894,Product_A,9,49.9,195,1548.37,14.97,10,5,54.89
2002969,Product_A,1,56,209,250.39,3.74,10,1.2,61.6
2003195,Product_A,9,61.1,259,2495.31,11.64,10,3.9,67.21
2003206,Product_A,8,53.4,415,3454.04,47.73,10,15.9,58.74
2003309,Product_A,8,62.2,241,1034.79,7.48,10,2.5,68.42
2003352,Product_A,4,53.2,418,1391.77,26.18,10,8.7,58.52
2003420,Product_A,7,41.7,160,1641.56,14.96,10,5,45.87
2003455,Product_A,3,29.4,232,1120.93,18.7,10,6.2,32.34
2003470,Product_A,11,58.7,220,590.63,3.74,10,1.2,64.57
2003660,Product_A,7,42.1,119,2524.55,7.89,10,2.6,46.31
2003743,Product_A,3,43.1,384,60314.28,30.41,10,10.1,47.41
2003752,Product_A,4,43.4,302,1177.04,16.84,10,5.6,47.74
2004219,Product_A,5,57.3,450,3348.57,22.45,10,7.5,63.03
2004248,Product_A,10,48,186,411.83,7.48,10,2.5,52.8
2004270,Product_A,7,53.7,204,544.11,7.48,10,2.5,59.07
2004333,Product_A,11,38.5,144,4777.98,3.74,10,1.2,42.35
2004337,Product_A,4,60.5,217,1200.43,11.23,10,3.7,66.55
2004346,Product_A,1,38.4,1631,12006.84,72.17,10,24.1,42.24
2004692,Product_A,2,64,239,295.27,3.74,10,1.2,70.4
2004720,Product_A,9,60.3,259,996.07,12.06,10,4,66.33
2004774,Product_A,8,47.6,185,1545.04,7.34,10,2.4,52.36
2004841,Product_A,8,53.1,415,1148.42,18.7,10,6.2,58.41
2004998,Product_A,2,48.9,167,970.33,15.8,10,5.3,53.79
2005096,Product_A,2,53.5,233,921.4,8.3,10,2.8,58.85
2005550,Product_A,1,54.5,210,457.26,7.48,10,2.5,59.95
2005851,Product_A,5,52.6,210,1313.07,19.13,10,6.4,57.86
2006045,Product_A,9,53.2,440,1239.14,15.37,10,5.1,58.52
2006445,Product_A,8,50.8,197,1399.23,7.48,10,2.5,55.88
2006464,Product_A,11,53.5,205,1204.84,14.96,10,5,58.85
2006588,Product_A,3,62.3,479,4687.08,14.96,10,5,68.53
2006680,Product_A,9,55.9,209,881.73,3.74,10,1.2,61.49
2007054,Product_A,3,53.4,234,1362.25,11.64,10,3.9,58.74
2007170,Product_A,8,52,204,1118,11.63,10,3.9,57.2
2007250,Product_A,10,48.3,157,766.62,9.93,10,3.3,53.13
2007461,Product_A,8,35.9,159,636.51,11.22,10,3.7,39.49
2007588,Product_A,12,52.7,204,1801.89,14.97,10,5,57.97
2007645,Product_A,1,47.5,211,1387.65,19.12,10,6.4,52.25
2007945,Product_A,3,51.1,201,1608.63,14.96,10,5,56.21
2008289,Product_A,12,52.6,204,651.36,7.48,10,2.5,57.86
2008461,Product_A,3,55.8,209,930.15,3.74,10,1.2,61.38
2008483,Product_A,11,54.3,209,867.85,11.23,10,3.7,59.73
2008747,Product_A,2,54.2,861,3934.6,43.21,10,14.4,59.62
2009375,Product_A,3,54.6,211,863.35,11.22,10,3.7,60.06
2009406,Product_A,2,56.4,234,381.28,4.16,10,1.4,62.04
2009580,Product_A,6,48.6,185,638.21,7.48,10,2.5,53.46
2009680,Product_A,5,53.6,214,992.58,11.22,10,3.7,58.96
2010063,Product_A,2,49,750,3516.9,37.01,10,12.3,53.9
2010108,Product_A,2,53.5,649,2194.49,30.34,10,10.1,58.85
2010170,Product_A,2,43.2,359,2046.99,22.87,10,7.6,47.52
2010485,Product_A,7,25.8,400,1784.93,34.07,10,11.4,28.38
2010526,Product_A,6,50,624,6093.12,12.48,10,4.2,55
2010553,Product_A,6,52.8,409,1005.14,14.96,10,5,58.08
2010570,Product_A,7,54.7,205,204.78,3.74,10,1.2,60.17
2010598,Product_A,1,56.4,422,1148.74,7.48,10,2.5,62.04
2010969,Product_A,1,43.2,874,6226.96,84.33,10,28.1,47.52
2011148,Product_A,9,51.6,197,8009.45,11.63,10,3.9,56.76
2011559,Product_A,8,46,732,7310.2,45.7,10,15.2,50.6
2011786,Product_A,1,51.3,192,191.75,3.74,10,1.2,56.43
2012098,Product_A,3,53.6,654,2237.96,30.77,10,10.3,58.96
2012155,Product_A,1,46.7,1459,14845.61,278.07,10,92.7,51.37
2012697,Product_A,8,53.6,204,1530.48,18.7,10,6.2,58.96
2012762,Product_A,5,53.4,233,4739.28,11.64,10,3.9,58.74
2012774,Product_A,5,53.5,210,788.51,11.22,10,3.7,58.85
2012783,Product_A,3,50.9,584,2576.58,26.18,10,8.7,55.99
2012806,Product_A,3,42.6,494,4100.2,37.4,10,12.5,46.86
2012992,Product_A,2,61,1192,7450.04,41.35,10,13.8,67.1
2013607,Product_A,4,62,268,953.7,15.38,10,5.1,68.2
2013943,Product_A,1,39.1,10771,93186.96,1065.86,10,355.3,43.01
2014746,Product_A,2,34.5,442,37814.9,36.53,10,12.2,37.95
2014798,Product_A,2,53.4,3840,18176.57,202.96,10,67.7,58.74
2014848,Product_A,5,32.5,519,32757.7,56.94,10,19,35.75
2015196,Product_A,7,53.7,226,624.45,8.32,10,2.8,59.07
2015288,Product_A,5,54.3,214,1502.27,11.65,10,3.9,59.73
2015373,Product_A,9,48.1,173,567.86,7.9,10,2.6,52.91
2015884,Product_A,1,63.4,738,2843.2,27.01,10,9,69.74
2015948,Product_A,3,41.4,514,1592.09,22.86,10,7.6,45.54
2016096,Product_A,9,52.6,204,499.48,7.49,10,2.5,57.86
2016145,Product_A,1,36,578,3709.23,57.35,10,19.1,39.6
2016149,Product_A,1,48.3,386,1767.39,22.46,10,7.5,53.13
2016200,Product_A,5,50,394,3817.02,19.13,10,6.4,55
2016363,Product_A,1,61.7,717,2286.1,29.92,10,10,67.87
2016558,Product_A,1,28.8,228,20130.75,7.89,10,2.6,31.68
2016581,Product_A,3,48.2,140,1108.23,15.8,10,5.3,53.02
2016721,Product_A,4,53,817,29731.85,26.2,10,8.7,58.3
2016804,Product_A,3,45.6,348,14191.51,14.96,10,5,50.16
2016894,Product_A,5,47.1,176,580.28,3.74,10,1.2,51.81
2016918,Product_A,11,54.7,205,204.78,3.74,10,1.2,60.17
2016944,Product_A,6,54.7,205,204.78,3.74,10,1.2,60.17
2017004,Product_A,6,52.7,204,2075.98,11.22,10,3.7,57.97
2017449,Product_A,3,42.3,171,1198.93,14.97,10,5,46.53
2017600,Product_A,5,27,112,663.51,14.96,10,5,29.7
2017680,Product_A,9,29.8,114,1466.15,11.23,10,3.7,32.78
2018205,Product_A,5,39.2,776,7797.24,119.7,10,39.9,43.12
2018306,Product_A,4,62.7,240,919.26,11.22,10,3.7,68.97
2018436,Product_A,12,42.3,163,2029.54,30.77,10,10.3,46.53
2018457,Product_A,12,56.4,211,530.77,7.48,10,2.5,62.04
2019037,Product_A,6,62.4,239,699.57,11.22,10,3.7,68.64
2019284,Product_A,9,44.9,135,218.03,3,10,1,49.39
2019333,Product_A,5,49.5,146,641.02,7.48,10,2.5,54.45
2019371,Product_A,11,54.9,215,961.58,11.23,10,3.7,60.39
